Date,Name,Year,Letterboxd URI
2022-01-20,The Father,2020,https://boxd.it/m8Ie
2022-01-20,Another Round,2020,https://boxd.it/lkba
2022-01-20,Groundhog Day,1993,https://boxd.it/2b3e
2022-01-20,Normal People,2020,https://boxd.it/q2VY
2022-05-31,Dear Comrades!,2020,https://boxd.it/lCs4
2022-05-31,Reservoir Dogs,1992,https://boxd.it/2agc
2022-07-22,The Prince of Egypt,1998,https://boxd.it/1XGQ
2022-07-22,The Shawshank Redemption,1994,https://boxd.it/2aHi
2022-07-22,Squid Game,2021,https://boxd.it/x1OG
2022-07-22,My Son,2021,https://boxd.it/saKe